year,section,credit_rule,notes,module_code,description,assessment,credits,period,sub_slot,module_rules
Year 1U,Compulsory Modules (120 credits),,,MTHA4001A,MATHEMATICAL SKILLS,CW,20,SEM1,C,
Year 1U,Compulsory Modules (120 credits),,,MTHA4003A,"SEQUENCES, SERIES AND LINEAR EQUATIONS",WW,20,SEM1,A,
Year 1U,Compulsory Modules (120 credits),,,MTHA4003B,REAL ANALYSIS AND GROUP THEORY,WW,20,SEM2,A,
Year 1U,Compulsory Modules (120 credits),,,MTHA4007B,COMPUTATION AND MODELLING,CW,20,SEM2,C,
Year 1U,Compulsory Modules (120 credits),,,MTHA4008B,PROBABILITY AND MULTIVARIABLE CALCULUS,WW,20,SEM2,D,BEFORE OR WHILE TAKING THIS MODULE YOU MUST TAKE MTHA4008A
Year 1U,Compulsory Modules (120 credits),,,MTHA4008A,CALCULUS,WW,20,SEM1,D,
Year 2U,Compulsory Modules ( 80 credits),,,MTHA5003A,COMPLEX FUNCTIONS AND LINEAR ALGEBRA,WW,20,SEM1,B,BEFORE TAKING THIS MODULE YOU MUST TAKE MTHA4003Y AND TAKE MTHA4006Y OR TAKE MTHA4003A AND TAKE MTHA4003B
Year 2U,Compulsory Modules ( 80 credits),,,MTHA5003B,COMPLEX INTEGRATION AND RING THEORY,WW,20,SEM2,B,BEFORE OR WHILE TAKING THIS MODULE YOU MUST TAKE MTHA5003A
Year 2U,Compulsory Modules ( 80 credits),,,MTHA5005A,DIFFERENTIAL EQUATIONS AND APPLIED METHODS,WW,20,SEM1,A,BEFORE TAKING THIS MODULE YOU MUST TAKE MTHA4008Y OR TAKE MTHA4008B
Year 2U,Compulsory Modules ( 80 credits),,,MTHA5005B,FLUID FLOW - THEORY AND COMPUTATION,WW,20,SEM2,A,
Year 2U,Options Range A,20-40 credits,Students will select 20-40 credits from the following modules:,ENV-5043A,WEATHER,CW,20,SEM1,D,
Year 2U,Options Range A,20-40 credits,Students will select 20-40 credits from the following modules:,MTHF5032B,MATHEMATICAL MODELLING,WW,20,SEM2,"D1, E",BEFORE TAKING THIS MODULE YOU MUST TAKE MTHA4008Y OR TAKE ENV-4015Y OR TAKE MTHA4008A OR TAKE MTHB4010Y
Year 2U,Options Range A,20-40 credits,Students will select 20-40 credits from the following modules:,MTHF5035A,CRYPTOGRAPHY,WW,20,SEM1,D,BEFORE TAKING THIS MODULE YOU MUST TAKE MTHA4001A AND TAKE MTHA4003B OR TAKE MTHA4006Y
Year 2U,Options Range A,20-40 credits,Students will select 20-40 credits from the following modules:,MTHS5050A,MATHEMATICAL STATISTICS,WW,20,SEM1,D,IN TAKING THIS MODULE YOU CANNOT TAKE MTHS6050A
Year 2U,Options Range A,20-40 credits,Students will select 20-40 credits from the following modules:,MTHS5051B,LINEAR AND GENERALISED LINEAR MODELS,WW,20,SEM2,D,WHILE TAKING THIS MODULE YOU MUST TAKE MTHS5050A OR TAKE MTHS6050A
Year 2U,Options Range B,0-20 credits,Students will select 0-20 credits from the following modules:,CMP-5020B,PROGRAMMING FOR NON-SPECIALISTS,WW,20,SEM2,C,IN TAKING THIS MODULE YOU CANNOT TAKE CMP-4008Y OR TAKE CMP-4009B
Year 2U,Options Range B,0-20 credits,Students will select 0-20 credits from the following modules:,NBS-4108B,INTRODUCTION TO FINANCIAL AND MANAGEMENT ACCOUNTING,EX,20,SEM2,C,
Year 2U,Options Range B,0-20 credits,Students will select 0-20 credits from the following modules:,PHY-4003A,GEOPHYSICS AND ASTROPHYSICS,WW,20,SEM1,C,
Year 3U,Options Range A,60-100 credits,Please select your modules so that your module credit split does not exceed 70 in a single semester.Students will select 60-100 credits from the following modules:,MTHA6026A,FINANCIAL MATHEMATICS,WW,20,SEM1,D1,BEFORE TAKING THIS MODULE YOU MUST TAKE MTHA5002B OR TAKE MTHA5005A OR TAKE MTHB5011B
